sample-id,absolute-filepath,direction
GC91GC2,/work/gif3/sharu/Metagenomics/data/GC91GC2_806rcbc397_R1.fastq.gz,forward
GC80GC2,/work/gif3/sharu/Metagenomics/data/GC80GC2_806rcbc315_R2.fastq.gz,reverse
GC31GC1,/work/gif3/sharu/Metagenomics/data/GC31GC1_806rcbc447_R1.fastq.gz,forward
GC23GC2,/work/gif3/sharu/Metagenomics/data/GC23GC2_806rcbc295_R1.fastq.gz,forward
syncomP68,/work/gif3/sharu/Metagenomics/data/syncomP68_160125_R1.fastq.gz,forward
syncomP68,/work/gif3/sharu/Metagenomics/data/syncomP68_160126_R2.fastq.gz,reverse
syncomP56,/work/gif3/sharu/Metagenomics/data/syncomP56_160126_R2.fastq.gz,reverse
syncomP56,/work/gif3/sharu/Metagenomics/data/syncomP56_160125_R1.fastq.gz,forward
GC56GC2,/work/gif3/sharu/Metagenomics/data/GC56GC2_806rcbc359_R2.fastq.gz,reverse
GC107GC1,/work/gif3/sharu/Metagenomics/data/GC107GC1_806rcbc162_R2.fastq.gz,reverse
GC92GC2,/work/gif3/sharu/Metagenomics/data/GC92GC2_806rcbc456_R2.fastq.gz,reverse
GC104GC1,/work/gif3/sharu/Metagenomics/data/GC104GC1_806rcbc390_R2.fastq.gz,reverse
GC34GC2,/work/gif3/sharu/Metagenomics/data/GC34GC2_806rcbc430_R2.fastq.gz,reverse
GC99GC1,/work/gif3/sharu/Metagenomics/data/GC99GC1_806rcbc133_R2.fastq.gz,reverse
GC6GC1,/work/gif3/sharu/Metagenomics/data/GC6GC1_806rcbc368_R1.fastq.gz,forward
GC24GC2,/work/gif3/sharu/Metagenomics/data/GC24GC2_806rcbc122_R2.fastq.gz,reverse
GC8GC1,/work/gif3/sharu/Metagenomics/data/GC8GC1_806rcbc132_R1.fastq.gz,forward
GC72GC1,/work/gif3/sharu/Metagenomics/data/GC72GC1_806rcbc99_R1.fastq.gz,forward
syncomP39,/work/gif3/sharu/Metagenomics/data/syncomP39_160125_R1.fastq.gz,forward
syncomP39,/work/gif3/sharu/Metagenomics/data/syncomP39_160126_R2.fastq.gz,reverse
GC12GC2,/work/gif3/sharu/Metagenomics/data/GC12GC2_806rcbc127_R1.fastq.gz,forward
GC21GC2,/work/gif3/sharu/Metagenomics/data/GC21GC2_806rcbc309_R2.fastq.gz,reverse
GC87GC1,/work/gif3/sharu/Metagenomics/data/GC87GC1_806rcbc151_R1.fastq.gz,forward
GC57GC1,/work/gif3/sharu/Metagenomics/data/GC57GC1_806rcbc113_R2.fastq.gz,reverse
GC11GC1,/work/gif3/sharu/Metagenomics/data/GC11GC1_806rcbc130_R2.fastq.gz,reverse
GC44GC2,/work/gif3/sharu/Metagenomics/data/GC44GC2_806rcbc333_R2.fastq.gz,reverse
GC33GC2,/work/gif3/sharu/Metagenomics/data/GC33GC2_806rcbc175_R2.fastq.gz,reverse
GC58GC2,/work/gif3/sharu/Metagenomics/data/GC58GC2_806rcbc316_R1.fastq.gz,forward
syncomP34,/work/gif3/sharu/Metagenomics/data/syncomP34_160125_R2.fastq.gz,reverse
syncomP34,/work/gif3/sharu/Metagenomics/data/syncomP34_160126_R1.fastq.gz,forward
GC19GC2,/work/gif3/sharu/Metagenomics/data/GC19GC2_806rcbc156_R1.fastq.gz,forward
GC33GC1,/work/gif3/sharu/Metagenomics/data/GC33GC1_806rcbc348_R2.fastq.gz,reverse
GC51GC1,/work/gif3/sharu/Metagenomics/data/GC51GC1_806rcbc369_R1.fastq.gz,forward
GC8GC1,/work/gif3/sharu/Metagenomics/data/GC8GC1_806rcbc324_R1.fastq.gz,forward
GC42GC2,/work/gif3/sharu/Metagenomics/data/GC42GC2_806rcbc476_R1.fastq.gz,forward
GC9GC1,/work/gif3/sharu/Metagenomics/data/GC9GC1_806rcbc331_R1.fastq.gz,forward
syncomP1,/work/gif3/sharu/Metagenomics/data/syncomP1_160125_R2.fastq.gz,reverse
syncomP1,/work/gif3/sharu/Metagenomics/data/syncomP1_160126_R1.fastq.gz,forward
GC38GC1,/work/gif3/sharu/Metagenomics/data/GC38GC1_806rcbc123_R1.fastq.gz,forward
GC99GC1,/work/gif3/sharu/Metagenomics/data/GC99GC1_806rcbc325_R2.fastq.gz,reverse
syncomP65,/work/gif3/sharu/Metagenomics/data/syncomP65_160125_R2.fastq.gz,reverse
syncomP65,/work/gif3/sharu/Metagenomics/data/syncomP65_160126_R1.fastq.gz,forward
GC90GC1,/work/gif3/sharu/Metagenomics/data/GC90GC1_806rcbc313_R2.fastq.gz,reverse
GC67GC2,/work/gif3/sharu/Metagenomics/data/GC67GC2_806rcbc390_R1.fastq.gz,forward
GC24GC1,/work/gif3/sharu/Metagenomics/data/GC24GC1_806rcbc148_R1.fastq.gz,forward
GC85GC2,/work/gif3/sharu/Metagenomics/data/GC85GC2_806rcbc173_R2.fastq.gz,reverse
GC52GC2,/work/gif3/sharu/Metagenomics/data/GC52GC2_806rcbc129_R1.fastq.gz,forward
GC8GC2,/work/gif3/sharu/Metagenomics/data/GC8GC2_806rcbc323_R2.fastq.gz,reverse
GC13GC2,/work/gif3/sharu/Metagenomics/data/GC13GC2_806rcbc366_R1.fastq.gz,forward
GC38GC1,/work/gif3/sharu/Metagenomics/data/GC38GC1_806rcbc315_R1.fastq.gz,forward
GC54GC1,/work/gif3/sharu/Metagenomics/data/GC54GC1_806rcbc161_R2.fastq.gz,reverse
GC40GC1,/work/gif3/sharu/Metagenomics/data/GC40GC1_806rcbc168_R1.fastq.gz,forward
syncomP35,/work/gif3/sharu/Metagenomics/data/syncomP35_160125_R1.fastq.gz,forward
GC5GC2,/work/gif3/sharu/Metagenomics/data/GC5GC2_806rcbc387_R1.fastq.gz,forward
syncomP35,/work/gif3/sharu/Metagenomics/data/syncomP35_160126_R2.fastq.gz,reverse
GC91GC2,/work/gif3/sharu/Metagenomics/data/GC91GC2_806rcbc301_R1.fastq.gz,forward
GC20GC2,/work/gif3/sharu/Metagenomics/data/GC20GC2_806rcbc125_R2.fastq.gz,reverse
GC83GC1,/work/gif3/sharu/Metagenomics/data/GC83GC1_806rcbc298_R1.fastq.gz,forward
GC86GC1,/work/gif3/sharu/Metagenomics/data/GC86GC1_806rcbc372_R1.fastq.gz,forward
GC10GC2,/work/gif3/sharu/Metagenomics/data/GC10GC2_806rcbc121_R2.fastq.gz,reverse
syncomP64,/work/gif3/sharu/Metagenomics/data/syncomP64_160125_R1.fastq.gz,forward
syncomP64,/work/gif3/sharu/Metagenomics/data/syncomP64_160126_R2.fastq.gz,reverse
GC85GC1,/work/gif3/sharu/Metagenomics/data/GC85GC1_806rcbc154_R1.fastq.gz,forward
GC64GC2,/work/gif3/sharu/Metagenomics/data/GC64GC2_806rcbc335_R2.fastq.gz,reverse
GC75GC1,/work/gif3/sharu/Metagenomics/data/GC75GC1_806rcbc293_R2.fastq.gz,reverse
GC107GC1,/work/gif3/sharu/Metagenomics/data/GC107GC1_806rcbc354_R2.fastq.gz,reverse
GC41GC2,/work/gif3/sharu/Metagenomics/data/GC41GC2_806rcbc322_R1.fastq.gz,forward
syncomP69,/work/gif3/sharu/Metagenomics/data/syncomP69_160125_R2.fastq.gz,reverse
syncomP69,/work/gif3/sharu/Metagenomics/data/syncomP69_160126_R1.fastq.gz,forward
GC110GC1,/work/gif3/sharu/Metagenomics/data/GC110GC1_806rcbc426_R1.fastq.gz,forward
GC24GC2,/work/gif3/sharu/Metagenomics/data/GC24GC2_806rcbc314_R2.fastq.gz,reverse
syncomP57,/work/gif3/sharu/Metagenomics/data/syncomP57_160126_R1.fastq.gz,forward
syncomP57,/work/gif3/sharu/Metagenomics/data/syncomP57_160125_R2.fastq.gz,reverse
GC85GC2,/work/gif3/sharu/Metagenomics/data/GC85GC2_806rcbc365_R2.fastq.gz,reverse
GC34GC2,/work/gif3/sharu/Metagenomics/data/GC34GC2_806rcbc142_R2.fastq.gz,reverse
GC27GC1,/work/gif3/sharu/Metagenomics/data/GC27GC1_806rcbc116_R2.fastq.gz,reverse
GC80GC2,/work/gif3/sharu/Metagenomics/data/GC80GC2_806rcbc123_R2.fastq.gz,reverse
GC37GC1,/work/gif3/sharu/Metagenomics/data/GC37GC1_806rcbc297_R2.fastq.gz,reverse
GC35GC1,/work/gif3/sharu/Metagenomics/data/GC35GC1_806rcbc111_R2.fastq.gz,reverse
syncomP38,/work/gif3/sharu/Metagenomics/data/syncomP38_160125_R2.fastq.gz,reverse
syncomP38,/work/gif3/sharu/Metagenomics/data/syncomP38_160126_R1.fastq.gz,forward
GC53GC2,/work/gif3/sharu/Metagenomics/data/GC53GC2_806rcbc393_R1.fastq.gz,forward
GC91GC1,/work/gif3/sharu/Metagenomics/data/GC91GC1_806rcbc335_R1.fastq.gz,forward
GC74GC1,/work/gif3/sharu/Metagenomics/data/GC74GC1_806rcbc296_R2.fastq.gz,reverse
GC31GC1,/work/gif3/sharu/Metagenomics/data/GC31GC1_806rcbc351_R1.fastq.gz,forward
syncomP14,/work/gif3/sharu/Metagenomics/data/syncomP14_160125_R1.fastq.gz,forward
GC47GC2,/work/gif3/sharu/Metagenomics/data/GC47GC2_806rcbc96_R2.fastq.gz,reverse
syncomP14,/work/gif3/sharu/Metagenomics/data/syncomP14_160126_R2.fastq.gz,reverse
GC65GC2,/work/gif3/sharu/Metagenomics/data/GC65GC2_806rcbc148_R1.fastq.gz,forward
syncomP85,/work/gif3/sharu/Metagenomics/data/syncomP85_160125_R2.fastq.gz,reverse
GC98GC2,/work/gif3/sharu/Metagenomics/data/GC98GC2_806rcbc292_R1.fastq.gz,forward
syncomP85,/work/gif3/sharu/Metagenomics/data/syncomP85_160126_R1.fastq.gz,forward
GC87GC2,/work/gif3/sharu/Metagenomics/data/GC87GC2_806rcbc128_R1.fastq.gz,forward
GC48GC2,/work/gif3/sharu/Metagenomics/data/GC48GC2_806rcbc440_R1.fastq.gz,forward
GC8GC2,/work/gif3/sharu/Metagenomics/data/GC8GC2_806rcbc419_R1.fastq.gz,forward
syncomP45,/work/gif3/sharu/Metagenomics/data/syncomP45_160125_R1.fastq.gz,forward
syncomP45,/work/gif3/sharu/Metagenomics/data/syncomP45_160126_R2.fastq.gz,reverse
GC78GC1,/work/gif3/sharu/Metagenomics/data/GC78GC1_806rcbc292_R2.fastq.gz,reverse
GC9GC2,/work/gif3/sharu/Metagenomics/data/GC9GC2_806rcbc290_R1.fastq.gz,forward
GC14GC2,/work/gif3/sharu/Metagenomics/data/GC14GC2_806rcbc115_R1.fastq.gz,forward
syncomP88,/work/gif3/sharu/Metagenomics/data/syncomP88_160125_R1.fastq.gz,forward
syncomP88,/work/gif3/sharu/Metagenomics/data/syncomP88_160126_R2.fastq.gz,reverse
GC44GC2,/work/gif3/sharu/Metagenomics/data/GC44GC2_806rcbc429_R1.fastq.gz,forward
GC64GC1,/work/gif3/sharu/Metagenomics/data/GC64GC1_806rcbc302_R1.fastq.gz,forward
GC99GC2,/work/gif3/sharu/Metagenomics/data/GC99GC2_806rcbc146_R1.fastq.gz,forward
syncomP76,/work/gif3/sharu/Metagenomics/data/syncomP76_160126_R1.fastq.gz,forward
syncomP76,/work/gif3/sharu/Metagenomics/data/syncomP76_160125_R2.fastq.gz,reverse
syncomP48,/work/gif3/sharu/Metagenomics/data/syncomP48_160125_R2.fastq.gz,reverse
syncomP48,/work/gif3/sharu/Metagenomics/data/syncomP48_160126_R1.fastq.gz,forward
GC26GC2,/work/gif3/sharu/Metagenomics/data/GC26GC2_806rcbc134_R1.fastq.gz,forward
GC41GC2,/work/gif3/sharu/Metagenomics/data/GC41GC2_806rcbc418_R2.fastq.gz,reverse
GC102GC1,/work/gif3/sharu/Metagenomics/data/GC102GC1_806rcbc318_R1.fastq.gz,forward
GC106GC1,/work/gif3/sharu/Metagenomics/data/GC106GC1_806rcbc474_R1.fastq.gz,forward
syncomP27,/work/gif3/sharu/Metagenomics/data/syncomP27_160126_R1.fastq.gz,forward
syncomP27,/work/gif3/sharu/Metagenomics/data/syncomP27_160125_R2.fastq.gz,reverse
GC43GC1,/work/gif3/sharu/Metagenomics/data/GC43GC1_806rcbc147_R1.fastq.gz,forward
syncomP19,/work/gif3/sharu/Metagenomics/data/syncomP19_160125_R2.fastq.gz,reverse
syncomP19,/work/gif3/sharu/Metagenomics/data/syncomP19_160126_R1.fastq.gz,forward
GC58GC1,/work/gif3/sharu/Metagenomics/data/GC58GC1_806rcbc175_R2.fastq.gz,reverse
GC12GC2,/work/gif3/sharu/Metagenomics/data/GC12GC2_806rcbc415_R1.fastq.gz,forward
GC94GC2,/work/gif3/sharu/Metagenomics/data/GC94GC2_806rcbc312_R2.fastq.gz,reverse
GC92GC2,/work/gif3/sharu/Metagenomics/data/GC92GC2_806rcbc168_R1.fastq.gz,forward
GC56GC1,/work/gif3/sharu/Metagenomics/data/GC56GC1_806rcbc165_R1.fastq.gz,forward
GC85GC2,/work/gif3/sharu/Metagenomics/data/GC85GC2_806rcbc461_R2.fastq.gz,reverse
GC24GC2,/work/gif3/sharu/Metagenomics/data/GC24GC2_806rcbc410_R2.fastq.gz,reverse
GC64GC2,/work/gif3/sharu/Metagenomics/data/GC64GC2_806rcbc431_R2.fastq.gz,reverse
GC2GC2,/work/gif3/sharu/Metagenomics/data/GC2GC2_806rcbc170_R1.fastq.gz,forward
GC93GC1,/work/gif3/sharu/Metagenomics/data/GC93GC1_806rcbc137_R2.fastq.gz,reverse
GC83GC2,/work/gif3/sharu/Metagenomics/data/GC83GC2_806rcbc392_R1.fastq.gz,forward
syncomP33,/work/gif3/sharu/Metagenomics/data/syncomP33_160126_R1.fastq.gz,forward
syncomP33,/work/gif3/sharu/Metagenomics/data/syncomP33_160125_R2.fastq.gz,reverse
GC42GC1,/work/gif3/sharu/Metagenomics/data/GC42GC1_806rcbc314_R1.fastq.gz,forward
GC73GC1,/work/gif3/sharu/Metagenomics/data/GC73GC1_806rcbc171_R1.fastq.gz,forward
GC2GC1,/work/gif3/sharu/Metagenomics/data/GC2GC1_806rcbc183_R2.fastq.gz,reverse
GC31GC1,/work/gif3/sharu/Metagenomics/data/GC31GC1_806rcbc301_R1.fastq.gz,forward
syncomP62,/work/gif3/sharu/Metagenomics/data/syncomP62_160126_R1.fastq.gz,forward
syncomP62,/work/gif3/sharu/Metagenomics/data/syncomP62_160125_R2.fastq.gz,reverse
syncomP6,/work/gif3/sharu/Metagenomics/data/syncomP6_160126_R1.fastq.gz,forward
syncomP6,/work/gif3/sharu/Metagenomics/data/syncomP6_160125_R2.fastq.gz,reverse
GC53GC1,/work/gif3/sharu/Metagenomics/data/GC53GC1_806rcbc157_R1.fastq.gz,forward
GC79GC1,/work/gif3/sharu/Metagenomics/data/GC79GC1_806rcbc300_R2.fastq.gz,reverse
GC74GC1,/work/gif3/sharu/Metagenomics/data/GC74GC1_806rcbc104_R1.fastq.gz,forward
GC45GC1,/work/gif3/sharu/Metagenomics/data/GC45GC1_806rcbc362_R2.fastq.gz,reverse
GC108GC1,/work/gif3/sharu/Metagenomics/data/GC108GC1_806rcbc295_R2.fastq.gz,reverse
GC5GC1,/work/gif3/sharu/Metagenomics/data/GC5GC1_806rcbc338_R1.fastq.gz,forward
GC78GC2,/work/gif3/sharu/Metagenomics/data/GC78GC2_806rcbc475_R2.fastq.gz,reverse
GC13GC2,/work/gif3/sharu/Metagenomics/data/GC13GC2_806rcbc462_R1.fastq.gz,forward
syncomP91,/work/gif3/sharu/Metagenomics/data/syncomP91_160125_R2.fastq.gz,reverse
syncomP91,/work/gif3/sharu/Metagenomics/data/syncomP91_160126_R1.fastq.gz,forward
GC110GC1,/work/gif3/sharu/Metagenomics/data/GC110GC1_806rcbc138_R2.fastq.gz,reverse
GC11GC2,/work/gif3/sharu/Metagenomics/data/GC11GC2_806rcbc300_R2.fastq.gz,reverse
syncomP51,/work/gif3/sharu/Metagenomics/data/syncomP51_160125_R1.fastq.gz,forward
syncomP51,/work/gif3/sharu/Metagenomics/data/syncomP51_160126_R2.fastq.gz,reverse
GC55GC2,/work/gif3/sharu/Metagenomics/data/GC55GC2_806rcbc171_R1.fastq.gz,forward
GC46GC1,/work/gif3/sharu/Metagenomics/data/GC46GC1_806rcbc125_R1.fastq.gz,forward
GC94GC1,/work/gif3/sharu/Metagenomics/data/GC94GC1_806rcbc380_R2.fastq.gz,reverse
GC98GC2,/work/gif3/sharu/Metagenomics/data/GC98GC2_806rcbc100_R2.fastq.gz,reverse
GC48GC1,/work/gif3/sharu/Metagenomics/data/GC48GC1_806rcbc370_R1.fastq.gz,forward
GC78GC1,/work/gif3/sharu/Metagenomics/data/GC78GC1_806rcbc100_R1.fastq.gz,forward
GC15GC2,/work/gif3/sharu/Metagenomics/data/GC15GC2_806rcbc150_R1.fastq.gz,forward
GC75GC1,/work/gif3/sharu/Metagenomics/data/GC75GC1_806rcbc101_R1.fastq.gz,forward
GC49GC2,/work/gif3/sharu/Metagenomics/data/GC49GC2_806rcbc389_R2.fastq.gz,reverse
GC19GC1,/work/gif3/sharu/Metagenomics/data/GC19GC1_806rcbc379_R1.fastq.gz,forward
GC17GC2,/work/gif3/sharu/Metagenomics/data/GC17GC2_806rcbc166_R2.fastq.gz,reverse
GC109GC1,/work/gif3/sharu/Metagenomics/data/GC109GC1_806rcbc185_R2.fastq.gz,reverse
GC103GC1,/work/gif3/sharu/Metagenomics/data/GC103GC1_806rcbc342_R1.fastq.gz,forward
GC16GC1,/work/gif3/sharu/Metagenomics/data/GC16GC1_806rcbc136_R1.fastq.gz,forward
syncomP12,/work/gif3/sharu/Metagenomics/data/syncomP12_160126_R1.fastq.gz,forward
syncomP12,/work/gif3/sharu/Metagenomics/data/syncomP12_160125_R2.fastq.gz,reverse
GC32GC1,/work/gif3/sharu/Metagenomics/data/GC32GC1_806rcbc134_R2.fastq.gz,reverse
GC37GC1,/work/gif3/sharu/Metagenomics/data/GC37GC1_806rcbc105_R1.fastq.gz,forward
syncomP83,/work/gif3/sharu/Metagenomics/data/syncomP83_160126_R2.fastq.gz,reverse
syncomP83,/work/gif3/sharu/Metagenomics/data/syncomP83_160125_R1.fastq.gz,forward
GC48GC2,/work/gif3/sharu/Metagenomics/data/GC48GC2_806rcbc152_R1.fastq.gz,forward
GC23GC1,/work/gif3/sharu/Metagenomics/data/GC23GC1_806rcbc374_R1.fastq.gz,forward
syncomP43,/work/gif3/sharu/Metagenomics/data/syncomP43_160126_R1.fastq.gz,forward
syncomP43,/work/gif3/sharu/Metagenomics/data/syncomP43_160125_R2.fastq.gz,reverse
GC71GC2,/work/gif3/sharu/Metagenomics/data/GC71GC2_806rcbc160_R1.fastq.gz,forward
GC4GC2,/work/gif3/sharu/Metagenomics/data/GC4GC2_806rcbc162_R1.fastq.gz,forward
syncomP70,/work/gif3/sharu/Metagenomics/data/syncomP70_160125_R1.fastq.gz,forward
syncomP70,/work/gif3/sharu/Metagenomics/data/syncomP70_160126_R2.fastq.gz,reverse
GC77GC2,/work/gif3/sharu/Metagenomics/data/GC77GC2_806rcbc378_R2.fastq.gz,reverse
GC77GC1,/work/gif3/sharu/Metagenomics/data/GC77GC1_806rcbc145_R2.fastq.gz,reverse
GC71GC1,/work/gif3/sharu/Metagenomics/data/GC71GC1_806rcbc144_R1.fastq.gz,forward
GC9GC1,/work/gif3/sharu/Metagenomics/data/GC9GC1_806rcbc139_R2.fastq.gz,reverse
GC83GC1,/work/gif3/sharu/Metagenomics/data/GC83GC1_806rcbc106_R1.fastq.gz,forward
GC62GC2,/work/gif3/sharu/Metagenomics/data/GC62GC2_806rcbc110_R1.fastq.gz,forward
syncomP21,/work/gif3/sharu/Metagenomics/data/syncomP21_160125_R1.fastq.gz,forward
syncomP21,/work/gif3/sharu/Metagenomics/data/syncomP21_160126_R2.fastq.gz,reverse
GC48GC2,/work/gif3/sharu/Metagenomics/data/GC48GC2_806rcbc344_R1.fastq.gz,forward
GC94GC2,/work/gif3/sharu/Metagenomics/data/GC94GC2_806rcbc408_R1.fastq.gz,forward
GC24GC1,/work/gif3/sharu/Metagenomics/data/GC24GC1_806rcbc340_R2.fastq.gz,reverse
GC87GC2,/work/gif3/sharu/Metagenomics/data/GC87GC2_806rcbc416_R2.fastq.gz,reverse
GC52GC2,/work/gif3/sharu/Metagenomics/data/GC52GC2_806rcbc321_R2.fastq.gz,reverse
GC36GC1,/work/gif3/sharu/Metagenomics/data/GC36GC1_806rcbc344_R1.fastq.gz,forward
GC97GC1,/work/gif3/sharu/Metagenomics/data/GC97GC1_806rcbc141_R1.fastq.gz,forward
GC91GC1,/work/gif3/sharu/Metagenomics/data/GC91GC1_806rcbc143_R1.fastq.gz,forward
GC36GC2,/work/gif3/sharu/Metagenomics/data/GC36GC2_806rcbc176_R1.fastq.gz,forward
GC76GC1,/work/gif3/sharu/Metagenomics/data/GC76GC1_806rcbc112_R2.fastq.gz,reverse
syncomP71,/work/gif3/sharu/Metagenomics/data/syncomP71_160125_R2.fastq.gz,reverse
syncomP71,/work/gif3/sharu/Metagenomics/data/syncomP71_160126_R1.fastq.gz,forward
GC38GC2,/work/gif3/sharu/Metagenomics/data/GC38GC2_806rcbc154_R2.fastq.gz,reverse
GC91GC2,/work/gif3/sharu/Metagenomics/data/GC91GC2_806rcbc109_R2.fastq.gz,reverse
GC31GC2,/work/gif3/sharu/Metagenomics/data/GC31GC2_806rcbc161_R1.fastq.gz,forward
GC40GC1,/work/gif3/sharu/Metagenomics/data/GC40GC1_806rcbc360_R2.fastq.gz,reverse
GC69GC2,/work/gif3/sharu/Metagenomics/data/GC69GC2_806rcbc336_R2.fastq.gz,reverse
GC60GC2,/work/gif3/sharu/Metagenomics/data/GC60GC2_806rcbc177_R1.fastq.gz,forward
GC47GC2,/work/gif3/sharu/Metagenomics/data/GC47GC2_806rcbc384_R1.fastq.gz,forward
GC104GC1,/work/gif3/sharu/Metagenomics/data/GC104GC1_806rcbc102_R2.fastq.gz,reverse
GC27GC2,/work/gif3/sharu/Metagenomics/data/GC27GC2_806rcbc339_R2.fastq.gz,reverse
GC74GC2,/work/gif3/sharu/Metagenomics/data/GC74GC2_806rcbc305_R2.fastq.gz,reverse
GC4GC2,/work/gif3/sharu/Metagenomics/data/GC4GC2_806rcbc354_R1.fastq.gz,forward
GC105GC1,/work/gif3/sharu/Metagenomics/data/GC105GC1_806rcbc114_R1.fastq.gz,forward
